LSOA21_code,LSOA21_name,population
E01014485,Bristol 058A,1975
E01014486,Bristol 058C,2759
E01014487,Bristol 020A,2038
E01014488,Bristol 058B,2108
E01014489,Bristol 059A,2550
E01014491,Bristol 020B,2007
E01014492,Bristol 008A,1670
E01014493,Bristol 008B,1630
E01014494,Bristol 008C,1565
E01014495,Bristol 008D,1802
E01014496,Bristol 008E,2030
E01014497,Bristol 003A,1742
E01014498,Bristol 003B,1614
E01014499,Bristol 008F,1676
E01014500,Bristol 039A,1872
E01014501,Bristol 041A,2148
E01014502,Bristol 039B,2033
E01014504,Bristol 041B,1578
E01014505,Bristol 041C,1797
E01014506,Bristol 041D,1667
E01014507,Bristol 016A,1907
E01014508,Bristol 016B,1657
E01014509,Bristol 016C,2586
E01014510,Bristol 010A,2189
E01014511,Bristol 016D,1432
E01014512,Bristol 016E,1534
E01014513,Bristol 016F,1627
E01014514,Bristol 016G,2251
E01014515,Bristol 050A,1518
E01014516,Bristol 050B,1491
E01014517,Bristol 050C,1299
E01014518,Bristol 046A,1797
E01014519,Bristol 046B,1391
E01014520,Bristol 046C,1695
E01014521,Bristol 046D,1436
E01014522,Bristol 050D,1863
E01014523,Bristol 038A,1649
E01014524,Bristol 038B,1656
E01014525,Bristol 038C,1631
E01014526,Bristol 038D,1617
E01014527,Bristol 038E,1387
E01014528,Bristol 035A,1590
E01014529,Bristol 035B,1481
E01014530,Bristol 035C,1463
E01014531,Bristol 035D,2106
E01014532,Bristol 035E,1501
E01014533,Bristol 043A,1595
E01014534,Bristol 043B,1664
E01014535,Bristol 043C,2020
E01014536,Bristol 043D,1658
E01014537,Bristol 035F,1827
E01014538,Bristol 060A,1961
E01014539,Bristol 025A,1932
E01014544,Bristol 030A,1182
E01014545,Bristol 030B,1848
E01014546,Bristol 030C,1576
E01014547,Bristol 030D,1672
E01014548,Bristol 034A,1634
E01014549,Bristol 034B,1125
E01014550,Bristol 034C,2235
E01014551,Bristol 026A,1777
E01014552,Bristol 026B,1852
E01014553,Bristol 026C,1966
E01014554,Bristol 026D,1932
E01014555,Bristol 034D,2063
E01014556,Bristol 026E,1836
E01014557,Bristol 022A,1687
E01014558,Bristol 022B,1853
E01014559,Bristol 022C,2010
E01014560,Bristol 022D,1639
E01014561,Bristol 025C,1716
E01014562,Bristol 022E,1686
E01014563,Bristol 025D,1885
E01014564,Bristol 055A,1906
E01014565,Bristol 029A,1765
E01014566,Bristol 029B,1669
E01014567,Bristol 029C,1922
E01014568,Bristol 057A,2639
E01014569,Bristol 057B,2289
E01014570,Bristol 057C,2015
E01014571,Bristol 012A,1746
E01014572,Bristol 019A,2046
E01014573,Bristol 019B,2014
E01014574,Bristol 057D,2310
E01014575,Bristol 019C,1550
E01014576,Bristol 019D,2208
E01014577,Bristol 012B,1688
E01014578,Bristol 044A,1849
E01014579,Bristol 045A,1518
E01014580,Bristol 045B,1570
E01014581,Bristol 045C,1623
E01014582,Bristol 045D,1383
E01014583,Bristol 044B,1848
E01014584,Bristol 045E,1476
E01014585,Bristol 044C,1997
E01014586,Bristol 012C,1512
E01014587,Bristol 012D,1846
E01014588,Bristol 013A,2570
E01014589,Bristol 013B,1601
E01014590,Bristol 013C,2436
E01014591,Bristol 013D,1987
E01014592,Bristol 013E,1743
E01014593,Bristol 051A,1559
E01014594,Bristol 048A,1690
E01014595,Bristol 051B,1457
E01014596,Bristol 051C,1638
E01014597,Bristol 051D,1409
E01014598,Bristol 048B,2217
E01014599,Bristol 048C,1298
E01014600,Bristol 048D,1496
E01014601,Bristol 001A,1872
E01014602,Bristol 001B,2017
